,reward,sum_rate
0,26.03272066109468,8606544132.218937
1,24.699779056087277,8339955811.217451
2,24.930353653246183,8386070730.649236
3,24.7450280405785,8349005608.115701
4,24.71777482911226,8343554965.822454
5,24.646775352281637,8329355070.456327
6,24.113857343916706,8222771468.783343
7,24.182061911802766,8236412382.360556
8,24.47853304547139,8295706609.0942745
9,25.7171171612814,8543423432.256282
10,26.507272349070757,8701454469.81416
11,26.300613030610922,8660122606.122183
12,22.79872904044121,7959745808.088243
13,21.709387385523236,7741877477.1046505
14,20.163404950944944,7432680990.188989
15,19.005889310154387,7201177862.030879
16,17.73095818100871,6946191636.201741
17,18.556750638723134,7111350127.744628
18,18.916457713999822,7183291542.799964
19,20.989549607728044,7597909921.545611
20,19.598102513162477,7319620502.632493
21,21.09287192657117,7618574385.314235
22,22.03093834317505,7806187668.635013
23,21.977201601318367,7795440320.263671
24,22.573370121489333,7914674024.29787
25,23.0122535079062,8002450701.58124
26,22.666462224174513,7933292444.834906
27,22.781824766211788,7956364953.242356
28,21.9513352328082,7790267046.56164
29,22.571089570524784,7914217914.104958
30,23.493157888421607,8098631577.684321
31,23.199841634018682,8039968326.80374
32,20.51362660301051,7502725320.602102
33,22.21186080954798,7842372161.909597
34,22.688567859429384,7937713571.885875
35,22.505517032074934,7901103406.414986
36,22.218047176674503,7843609435.334904
37,21.880234486166767,7776046897.233352
38,20.474333865159338,7494866773.031868
39,21.060638037653316,7612127607.530664
40,21.55912242833146,7711824485.66629
41,20.989850171623246,7597970034.324653
42,22.482130738656014,7896426147.7312
43,20.713464920882004,7542692984.176405
44,18.352736910795436,7070547382.159086
45,19.912387543509723,7382477508.701948
46,19.760633533021398,7352126706.604279
47,20.584422621537712,7516884524.307539
48,19.19791665789152,7239583331.578303
49,20.07128994278961,7414257988.557921
50,17.60788495085544,6921576990.171089
51,18.031575494756733,7006315098.951348
52,18.67077192082716,7134154384.165429
53,18.480089960952657,7096017992.190531
54,16.268463725713428,6653692745.142686
55,15.103070959692207,6420614191.93844
56,14.465147482193155,6293029496.438629
57,14.834770227385604,6366954045.47712
58,13.976745463266683,6195349092.6533375
59,14.644488373755678,6328897674.751136
60,13.148451138747722,6029690227.749544
61,13.234119705123156,6046823941.024632
62,13.692611349095293,6138522269.819059
63,13.516580440732207,6103316088.146444
64,13.26395434440904,6052790868.881806
65,12.550870961804181,5910174192.360837
66,13.68410271379098,6136820542.758196
67,12.364159443026303,5872831888.605259
68,12.131179774437875,5826235954.887575
69,12.627041715070115,5925408343.014025
70,13.000215442682501,6000043088.536502
71,13.54898094328771,6109796188.657543
72,13.122442284099101,6024488456.8198185
73,12.307144896208268,5861428979.241652
74,13.208549317900914,6041709863.580181
75,11.944178935103825,5788835787.020765
76,11.941461299387585,5788292259.877517
77,12.769465268340268,5953893053.668054
78,11.396311835065363,5679262367.013074
79,13.351593347537241,6070318669.507449
80,10.88409253541985,5576818507.083969
81,11.448736778977755,5689747355.795551
82,12.096030963871332,5819206192.774268
83,11.06732581643411,5613465163.286822
84,11.36698114373542,5673396228.747084
85,10.903520666034341,5580704133.206868
86,11.798861291748505,5759772258.349702
87,11.525652783959869,5705130556.791974
88,10.716113112185152,5543222622.437032
89,11.2226593513034,5644531870.260679
90,11.619684638207525,5723936927.641505
91,11.472406484903392,5694481296.980681
92,12.111719556850828,5822343911.370166
93,12.573933420045265,5914786684.009052
94,10.706419933711354,5541283986.74227
95,10.243701554932302,5448740310.986462
96,11.847204508240068,5769440901.648014
97,11.104269654430514,5620853930.886103
98,9.242942582340001,5248588516.468
99,11.315045697833195,5663009139.566639
